purity,contingency_matrix,features,n_cluster,iter_on_best_performances,kmodes_init_type,kmodes_n_init
0.3797484036740893,"[[17042 12615  6785 24465]
 [43812 30974 15911 62563]
 [34704 25422 13494 49627]
 [19036 13484  6785 26864]]","['asl_residenza', 'asl_erogazione', 'tipologia_struttura_erogazione', 'tipologia_professionista_sanitario', 'incremento_teleassistenze']",4,0,Huang,1
0.8843806602359366,"[[  4273   2823   1989  51822]
 [139591   5823   4051   3795]
 [  8420 108562   3263   3002]
 [  4513   3051  56946   1659]]","['asl_residenza', 'asl_erogazione', 'tipologia_struttura_erogazione', 'tipologia_professionista_sanitario', 'incremento_teleassistenze']",4,0,Cao,1
0.91747174682779,"[[ 54605   2303   3999      0]
 [  2660 141094   9506      0]
 [  2181      0   8420 112646]
 [  1187   3051  61931      0]]","['asl_residenza', 'asl_erogazione', 'tipologia_struttura_erogazione', 'tipologia_professionista_sanitario', 'incremento_teleassistenze']",4,0,Huang,2
0.8843806602359366,"[[  4273   2823   1989  51822]
 [139591   5823   4051   3795]
 [  8420 108562   3263   3002]
 [  4513   3051  56946   1659]]","['asl_residenza', 'asl_erogazione', 'tipologia_struttura_erogazione', 'tipologia_professionista_sanitario', 'incremento_teleassistenze']",4,0,Cao,2
0.7765515395841748,"[[ 47676   1287   4273   7671]
 [122635   2738   9506  18381]
 [  5469   2460 114134   1184]
 [  3051  58253   4260    605]]","['asl_residenza', 'asl_erogazione', 'tipologia_struttura_erogazione', 'tipologia_professionista_sanitario', 'incremento_teleassistenze']",4,0,Huang,3
0.8843806602359366,"[[  4273   2823   1989  51822]
 [139591   5823   4051   3795]
 [  8420 108562   3263   3002]
 [  4513   3051  56946   1659]]","['asl_residenza', 'asl_erogazione', 'tipologia_struttura_erogazione', 'tipologia_professionista_sanitario', 'incremento_teleassistenze']",4,0,Cao,3
0.7380960050348999,"[[  8188   2682      0  50037]
 [ 47093   4482 101685      0]
 [ 16309  99068   7870      0]
 [ 19564  42092   4513      0]]","['asl_residenza', 'asl_erogazione', 'tipologia_struttura_erogazione', 'tipologia_professionista_sanitario', 'incremento_teleassistenze']",4,0,Huang,4
0.8843806602359366,"[[  4273   2823   1989  51822]
 [139591   5823   4051   3795]
 [  8420 108562   3263   3002]
 [  4513   3051  56946   1659]]","['asl_residenza', 'asl_erogazione', 'tipologia_struttura_erogazione', 'tipologia_professionista_sanitario', 'incremento_teleassistenze']",4,0,Cao,4
0.8088621175817614,"[[ 50884  10023      0      0]
 [148005   5255      0      0]
 [     0  40283  82964      0]
 [     0  10978      0  55191]]","['asl_residenza', 'asl_erogazione', 'tipologia_struttura_erogazione', 'tipologia_professionista_sanitario', 'incremento_teleassistenze']",4,0,Huang,5
0.8843806602359366,"[[  4273   2823   1989  51822]
 [139591   5823   4051   3795]
 [  8420 108562   3263   3002]
 [  4513   3051  56946   1659]]","['asl_residenza', 'asl_erogazione', 'tipologia_struttura_erogazione', 'tipologia_professionista_sanitario', 'incremento_teleassistenze']",4,0,Cao,5
0.8573428514085083,"[[ 35969   1462  23476      0]
 [150196   3064      0      0]
 [  7404 114827   1016      0]
 [     0   1551   7108  57510]]","['asl_residenza', 'asl_erogazione', 'tipologia_struttura_erogazione', 'tipologia_professionista_sanitario', 'incremento_teleassistenze']",4,0,Huang,6
0.8843806602359366,"[[  4273   2823   1989  51822]
 [139591   5823   4051   3795]
 [  8420 108562   3263   3002]
 [  4513   3051  56946   1659]]","['asl_residenza', 'asl_erogazione', 'tipologia_struttura_erogazione', 'tipologia_professionista_sanitario', 'incremento_teleassistenze']",4,0,Cao,6
0.7849612099617674,"[[ 47200   4273   1989   7445]
 [  1092  10043 119096  23029]
 [  4056 114515   3263   1413]
 [ 60157   4260   1752      0]]","['asl_residenza', 'asl_erogazione', 'tipologia_struttura_erogazione', 'tipologia_professionista_sanitario', 'incremento_teleassistenze']",4,0,Huang,7
0.8843806602359366,"[[  4273   2823   1989  51822]
 [139591   5823   4051   3795]
 [  8420 108562   3263   3002]
 [  4513   3051  56946   1659]]","['asl_residenza', 'asl_erogazione', 'tipologia_struttura_erogazione', 'tipologia_professionista_sanitario', 'incremento_teleassistenze']",4,0,Cao,7
0.9366598692214488,"[[  1480      0    935  58492]
 [141378   9506   2376      0]
 [  3121 118215   1911      0]
 [  1721   4513  59935      0]]","['asl_residenza', 'asl_erogazione', 'tipologia_struttura_erogazione', 'tipologia_professionista_sanitario', 'incremento_teleassistenze']",4,0,Huang,8
0.8843806602359366,"[[  4273   2823   1989  51822]
 [139591   5823   4051   3795]
 [  8420 108562   3263   3002]
 [  4513   3051  56946   1659]]","['asl_residenza', 'asl_erogazione', 'tipologia_struttura_erogazione', 'tipologia_professionista_sanitario', 'incremento_teleassistenze']",4,0,Cao,8
0.6734401597688704,"[[ 44573      0  10010   6324]
 [     0 113762  24978  14520]
 [118529      0   4175    543]
 [ 48983      0  10970   6216]]","['asl_residenza', 'asl_erogazione', 'tipologia_struttura_erogazione', 'tipologia_professionista_sanitario', 'incremento_teleassistenze']",4,0,Huang,9
0.8843806602359366,"[[  4273   2823   1989  51822]
 [139591   5823   4051   3795]
 [  8420 108562   3263   3002]
 [  4513   3051  56946   1659]]","['asl_residenza', 'asl_erogazione', 'tipologia_struttura_erogazione', 'tipologia_professionista_sanitario', 'incremento_teleassistenze']",4,0,Cao,9
0.6953563455348714,"[[  8721   2682  45505   3999]
 [ 22051   6757   2588 121864]
 [ 36723  76542   2112   7870]
 [ 19799  40720   1137   4513]]","['asl_residenza', 'asl_erogazione', 'tipologia_struttura_erogazione', 'tipologia_professionista_sanitario', 'incremento_teleassistenze']",4,0,Huang,10
0.8843806602359366,"[[  4273   2823   1989  51822]
 [139591   5823   4051   3795]
 [  8420 108562   3263   3002]
 [  4513   3051  56946   1659]]","['asl_residenza', 'asl_erogazione', 'tipologia_struttura_erogazione', 'tipologia_professionista_sanitario', 'incremento_teleassistenze']",4,0,Cao,10
0.7270425166570446,"[[ 18348  37723   4293    543]
 [ 20790   4519 117279  10672]
 [ 17158 105894    195      0]
 [ 59577   4230   1857    505]]","['codice_descrizione_attivita', 'asl_erogazione', 'tipologia_struttura_erogazione', 'incremento_teleassistenze']",4,1,Huang,1
0.9006350614371765,"[[  6325   4693   3841  46048]
 [152680    227    186    167]
 [ 12631 110360    145    111]
 [  6718   5009  54393     49]]","['codice_descrizione_attivita', 'asl_erogazione', 'tipologia_struttura_erogazione', 'incremento_teleassistenze']",4,1,Cao,1
0.82351833451855,"[[ 54240   2478   1912   2277]
 [153247      0      0     13]
 [  5158 113406      0   4683]
 [  2619   2523  61022      5]]","['codice_descrizione_attivita', 'asl_erogazione', 'tipologia_struttura_erogazione', 'incremento_teleassistenze']",4,1,Huang,2
0.9006350614371765,"[[  6325   4693   3841  46048]
 [152680    227    186    167]
 [ 12631 110360    145    111]
 [  6718   5009  54393     49]]","['codice_descrizione_attivita', 'asl_erogazione', 'tipologia_struttura_erogazione', 'incremento_teleassistenze']",4,1,Cao,2
0.7288166250808384,"[[ 14158  37916   6887   1946]
 [ 21767 129695   1798      0]
 [ 15157   3442  25023  79625]
 [ 59795   4074    758   1542]]","['codice_descrizione_attivita', 'asl_erogazione', 'tipologia_struttura_erogazione', 'incremento_teleassistenze']",4,1,Huang,3
0.9006350614371765,"[[  6325   4693   3841  46048]
 [152680    227    186    167]
 [ 12631 110360    145    111]
 [  6718   5009  54393     49]]","['codice_descrizione_attivita', 'asl_erogazione', 'tipologia_struttura_erogazione', 'incremento_teleassistenze']",4,1,Cao,3
